Parameter,Low_Value,High_Value,Cost_Low,Cost_High,Range
Env. Capacity ($A$),500000.0,1500000.0,12499.430972811268,12627.496782061533,128.06580925026537
Rocket Base Cost,80.0,120.0,11855.374625631634,13085.52017202684,1230.145546395206
Space Elevator Cap.,483300.0,590700.0,13851.229654402701,11248.267377899381,2602.96227650332
Rocket Failure Rate,0.01,0.1,12790.162082344379,12485.699189103354,304.4628932410251
Discount Rate ($r$),0.01,0.05,6028.955538585439,883.9386719454069,5145.016866640032
