Multiplier,Decay_Rate,Min_Cost,Min_Time
0.5,0.05,12381.787279142083,126.0
0.8,0.08000000000000002,12426.629388843332,88.0
1.0,0.1,12619.613062264418,87.0
1.5,0.15000000000000002,12807.903198509928,88.0
2.0,0.2,12390.752091482234,87.0
