Cost,Time,Env,Multiplier,Decay_Label
13523.551785564787,124.0,5.7726151807466115,2.0,2.0x (Rate=0.20)
16592.5516172622,108.0,5.533083383337531,2.0,2.0x (Rate=0.20)
14778.307238999205,121.0,5.548200837251459,2.0,2.0x (Rate=0.20)
14439.296441706534,117.0,5.707319693545063,2.0,2.0x (Rate=0.20)
19489.9269751582,95.0,5.5702005774736785,2.0,2.0x (Rate=0.20)
20120.070273543308,89.0,5.675245962146856,2.0,2.0x (Rate=0.20)
18040.415919188847,98.0,5.729898679978329,2.0,2.0x (Rate=0.20)
15753.84887457684,113.0,5.683782264572512,2.0,2.0x (Rate=0.20)
16698.696601743883,105.0,5.8335152027326105,2.0,2.0x (Rate=0.20)
19013.447842352725,95.0,5.663404431337917,2.0,2.0x (Rate=0.20)
15507.906308650105,111.0,5.859299526270831,2.0,2.0x (Rate=0.20)
17900.447696092404,100.0,5.716362535892677,2.0,2.0x (Rate=0.20)
14971.995836981474,120.0,5.543547926497713,2.0,2.0x (Rate=0.20)
14114.445168873805,119.0,5.721191304578009,2.0,2.0x (Rate=0.20)
17443.353902892002,101.0,5.801006532363769,2.0,2.0x (Rate=0.20)
14849.012811094137,117.0,5.561800396089708,2.0,2.0x (Rate=0.20)
13513.45915772486,126.0,5.654540045979605,2.0,2.0x (Rate=0.20)
15555.166707658113,110.0,5.871187008691736,2.0,2.0x (Rate=0.20)
12549.285311020996,130.0,5.69858254944767,2.0,2.0x (Rate=0.20)
17492.91580367329,101.0,5.740445674830603,2.0,2.0x (Rate=0.20)
20229.16371185431,88.0,5.678415970208266,2.0,2.0x (Rate=0.20)
13177.207829553125,125.0,5.786863845017591,2.0,2.0x (Rate=0.20)
13789.0771059587,122.0,5.777646427363082,2.0,2.0x (Rate=0.20)
15926.142486626195,109.0,5.808368136840027,2.0,2.0x (Rate=0.20)
14218.785414271682,118.0,5.820868987878211,2.0,2.0x (Rate=0.20)
18238.47857651219,99.0,5.65573382515942,2.0,2.0x (Rate=0.20)
13193.746528816151,127.0,5.666330069673997,2.0,2.0x (Rate=0.20)
15245.213131219121,111.0,5.886409038483423,2.0,2.0x (Rate=0.20)
