Multiplier,Threshold,Min_Cost,Min_Time,Knee_Cost
0.2,200000.0,12511.703117863732,87.0,16782.954356475555
0.5,500000.0,12714.304706321635,88.0,15792.322093435469
0.8,800000.0,12726.91133034908,87.0,15955.247526478282
1.0,1000000.0,12532.78889773099,88.0,15817.291660187286
1.25,1250000.0,12488.088776280563,108.0,14100.719765195738
